"Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","aqiMean","latMean","longMean","Month","Year"
1-04-20,"Millbrook School","PM2.5","Wake",38.6666666666667,35.856111,-78.574167,1,2020
1-04-20,"Pitt Agri. Center","PM2.5","Pitt",24.5,35.6412760008938,-77.360126,1,2020
1-04-20,"West Johnston Co.","Ozone","Johnston",23,35.59095,-78.4622,1,2020
1-04-20,"West Johnston Co.","PM2.5","Johnston",26,35.59095,-78.4622,1,2020
1-05-20,"Bryson City","PM2.5","Swain",21.5,35.434767,-83.442133,1,2020
1-05-20,"Castle Hayne","PM2.5","New Hanover",10,34.364167,-77.838611,1,2020
1-05-20,"Clemmons Middle","PM2.5","Forsyth",25,36.026,-80.342,1,2020
1-05-20,"Durham Armory","PM2.5","Durham",30,36.0329550008979,-78.904037,1,2020
1-05-20,"Frying Pan Mountain","Ozone","Haywood",39,35.379167,-82.7925,1,2020
1-05-20,"Frying Pan Mountain","PM2.5","Haywood",13,35.379167,-82.7925,1,2020
1-05-20,"Garinger High School","Ozone","Mecklenburg",30.5,35.2401000008895,-80.785683,1,2020
1-05-20,"Garinger High School","PM2.5","Mecklenburg",20,35.2401000008895,-80.785683,1,2020
1-05-20,"Hattie Avenue","PM2.5","Forsyth",22.3333333333333,36.110693332,-80.2264378,1,2020
1-05-20,"Leggett","PM2.5","Edgecombe",6,35.988278,-77.5843,1,2020
1-05-20,"Linville Falls","PM2.5","Avery",15,35.972347,-81.933072,1,2020
1-05-20,"Mendenhall School","PM2.5","Guilford",14,36.1090060008986,-79.802314,1,2020
1-05-20,"Millbrook School","Ozone","Wake",34.5,35.856111,-78.574167,1,2020
1-05-20,"Millbrook School","PM2.5","Wake",28.75,35.856111,-78.574167,1,2020
1-05-20,"Pitt Agri. Center","PM2.5","Pitt",16.6666666666667,35.6412760008938,-77.360126,1,2020
1-05-20,"West Johnston Co.","Ozone","Johnston",34,35.59095,-78.4622,1,2020
1-05-20,"West Johnston Co.","PM2.5","Johnston",20,35.59095,-78.4622,1,2020
1-06-20,"Bryson City","PM2.5","Swain",33,35.434767,-83.442133,1,2020
1-06-20,"Castle Hayne","PM2.5","New Hanover",13,34.364167,-77.838611,1,2020
1-06-20,"Clemmons Middle","PM2.5","Forsyth",25,36.026,-80.342,1,2020
1-06-20,"Durham Armory","PM2.5","Durham",29.3333333333333,36.0329550008979,-78.904037,1,2020
1-06-20,"Frying Pan Mountain","Ozone","Haywood",40,35.379167,-82.7925,1,2020
1-06-20,"Garinger High School","Ozone","Mecklenburg",30.5,35.2401000008895,-80.785683,1,2020
1-06-20,"Garinger High School","PM2.5","Mecklenburg",32.25,35.2401000008895,-80.785683,1,2020
1-06-20,"Hattie Avenue","PM2.5","Forsyth",15.6666666666667,36.110693332,-80.2264378,1,2020
1-06-20,"Leggett","PM2.5","Edgecombe",7,35.988278,-77.5843,1,2020
1-06-20,"Linville Falls","PM2.5","Avery",4,35.972347,-81.933072,1,2020
1-06-20,"Mendenhall School","PM2.5","Guilford",18,36.1090060008986,-79.802314,1,2020
1-06-20,"Millbrook School","Ozone","Wake",32,35.856111,-78.574167,1,2020
1-06-20,"Millbrook School","PM2.5","Wake",27.75,35.856111,-78.574167,1,2020
1-06-20,"Pitt Agri. Center","PM2.5","Pitt",15.6666666666667,35.6412760008938,-77.360126,1,2020
1-06-20,"West Johnston Co.","Ozone","Johnston",33,35.59095,-78.4622,1,2020
1-06-20,"West Johnston Co.","PM2.5","Johnston",28.5,35.59095,-78.4622,1,2020
1-07-20,"Bryson City","PM2.5","Swain",45,35.434767,-83.442133,1,2020
1-07-20,"Castle Hayne","PM2.5","New Hanover",11,34.364167,-77.838611,1,2020
1-07-20,"Clemmons Middle","PM2.5","Forsyth",40.5,36.026,-80.342,1,2020
1-07-20,"Durham Armory","PM2.5","Durham",41,36.0329550008979,-78.904037,1,2020
1-07-20,"Frying Pan Mountain","Ozone","Haywood",37,35.379167,-82.7925,1,2020
1-07-20,"Garinger High School","Ozone","Mecklenburg",29,35.2401000008895,-80.785683,1,2020
1-07-20,"Garinger High School","PM2.5","Mecklenburg",39,35.2401000008895,-80.785683,1,2020
1-07-20,"Hattie Avenue","PM2.5","Forsyth",26,36.110693332,-80.2264378,1,2020
1-07-20,"Leggett","PM2.5","Edgecombe",12.5,35.988278,-77.5843,1,2020
1-07-20,"Mendenhall School","PM2.5","Guilford",30,36.1090060008986,-79.802314,1,2020
1-07-20,"Millbrook School","Ozone","Wake",31.5,35.856111,-78.574167,1,2020
1-07-20,"Millbrook School","PM2.5","Wake",42,35.856111,-78.574167,1,2020
1-07-20,"Pitt Agri. Center","PM2.5","Pitt",17,35.6412760008938,-77.360126,1,2020
1-07-20,"West Johnston Co.","Ozone","Johnston",30,35.59095,-78.4622,1,2020
1-07-20,"West Johnston Co.","PM2.5","Johnston",25,35.59095,-78.4622,1,2020
1-08-20,"Bryson City","PM2.5","Swain",52,35.434767,-83.442133,1,2020
1-08-20,"Castle Hayne","PM2.5","New Hanover",9.5,34.364167,-77.838611,1,2020
